State, Proj_HS_Graduates
   Connecticut ,34410
   Maine ,12300
   Massachusetts ,62430
   New Hampshire ,13170
   New Jersey  ,91940
   New York ,200720
   Pennsylvania  ,125360
   Rhode Island  ,8590
   Vermont  ,5770
   Illinois  ,132620
   Indiana  ,66330
   Iowa ,33240
   Kansas ,32860
   Michigan  ,99620
   Minnesota ,58380
   Missouri  ,61970
   Nebraska  ,20660
   North Dakota  ,6700
   Ohio  ,102560
   South Dakota  ,8340
   Wisconsin  ,61760
   Alabama ,45840
   Arkansas ,29720
   Delaware ,8550
   District of Columbia ,2850
   Florida  ,165240
   Georgia ,97270
   Kentucky ,41370
   Louisiana  ,37880
   Maryland ,56880
   Mississippi ,26800
   North Carolina  ,95590
   Oklahoma ,40270
   South Carolina,42880
   Tennessee  ,62040
   Texas  ,320960
   Virginia ,83490
   West Virginia ,17270
   Alaska  ,7710
   Arizona  ,62730
   California ,377960
   Colorado ,56210
   Hawaii ,10640
   Idaho  ,17790
   Montana  ,9040
   Nevada ,26240
   New Mexico ,19690
   Oregon ,35300
   Utah ,36650
   Washington ,68260
   Wyoming ,5800
